new entry "ProjectileStrike_OdinGEO_BoulderCrash"
type "SkillData"
data "SkillType" "ProjectileStrike"
data "ForGameMaster" "Yes"
data "Ability" "Earth"
data "Tier" "Master"
data "ActionPoints" "2"
data "Cooldown" "4"
data "Damage Multiplier" "75"
data "Damage Range" "10"
data "DamageType" "Physical"
data "SkillProperties" "IF(Character):OdinCORE_PROC_LOSTFOOTING,100,0;IF(HasStatus:PETRIFIED):OdinGEO_SHATTER,100,0;"
data "TargetRadius" "13"
data "AreaRadius" "3"
data "DeathType" "PetrifiedShatter"
data "ExplodeRadius" "3"
data "StrikeCount" "1"
data "StrikeDelay" "0"
data "CanTargetCharacters" "No"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "ForceTarget" "No"
data "TargetConditions" "Character"
data "OverrideSkillLevel" "No"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "TargetProjectiles" "No"
data "ProjectileCount" "1"
data "ProjectileDelay" "0"
data "Angle" "0"
data "Height" "10"
data "SingleSource" "Yes"
data "Template" "1b16473e-fd7f-46d5-ab56-733d66a3dbfa"
data "Icon" "OBGEO_Skill_BoulderCrash"
data "DisplayName" "ProjectileStrike_OdinGEO_BoulderCrash_DisplayName"
data "DisplayNameRef" "Boulder Bash"
data "Description" "ProjectileStrike_OdinGEO_BoulderCrash_Description"
data "DescriptionRef" "A large boulder crashes down, dealing [1] and applying <font color='#dbdbdb'>Lost Footing</font> to all characters. <br><br>Removes <font color='#C7A758'>Petrified</font>, dealing an additional [2] if it is removed this way. <br><br>Setting <font color='#dbdbdb'>Lost Footing</font> on an enemy who already has <font color='#dbdbdb'>Lost Footing</font> will set <font color='#dbdbdb'>Knocked Down</font> if either Armour type is depleted."
data "StatsDescriptionParams" "Damage;Weapon:Damage_OdinGEO_Shatter:Damage;"
data "PrepareAnimationInit" "skill_prepare_voodoo_01_start"
data "PrepareAnimationLoop" "skill_prepare_voodoo_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Earth_Prepare_Earth_Root_01,KeepRot;"
data "CastAnimation" "skill_cast_target_voodoo_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Earth_Cast_Ground_Earth_Root_01,KeepRot;"
data "MemorizationRequirements" "EarthSpecialist 2; WarriorLore 2"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Distribution" "EdgeCenter"
data "Shuffle" "No"
data "PreviewStrikeHits" "Yes"
data "CycleConditions" "Enemy;!Dead"

