new entry "Quake_Earthquake"
type "SkillData"
data "SkillType" "Quake"
data "ForGameMaster" "Yes"
data "Ability" "Earth"
data "Tier" "Adept"
data "ActionPoints" "3"
data "Cooldown" "5"
data "Damage Multiplier" "90"
data "Damage Range" "10"
data "DamageType" "Earth"
data "SkillProperties" "KNOCKED_DOWN,100,1;IF(!HasStatus:KNOCKED_DOWN):OdinCORE_PROC_LOSTFOOTING,100,0;"
data "TotalSurfaceCells" "50"
data "AreaRadius" "13"
data "TargetConditions" "Enemy|Item;!Dead"
data "OverrideSkillLevel" "No"
data "SurfaceMinSpawnRadius" "4000"
data "DeathType" "DoT"
data "ShockWaveDuration" "1000"
data "MinSurfaces" "8"
data "MaxSurfaces" "8"
data "SurfaceType" "Oil"
data "SurfaceGrowStep" "1"
data "SurfaceGrowInterval" "10"
data "SurfaceStatusChance" "100"
data "Icon" "Skill_Earth_Earthquake"
data "DisplayName" "Quake_Earthquake_DisplayName"
data "DisplayNameRef" "Earthquake"
data "Description" "Quake_Earthquake_Description"
data "DescriptionRef" "Pummel the ground, causing a quake to deal [1] to enemies and create <font color='#676464'>Oil surfaces</font> in the area. <br><br>Enemies without <font color="#a8a8a8">Physical Armour</font> are <font color='#dbdbdb'>Knocked Down</font>, otherwise <font color='#dbdbdb'>Lost Footing</font> is applied instead. <br><br>Setting <font color='#dbdbdb'>Lost Footing</font> on an enemy who already has <font color='#dbdbdb'>Lost Footing</font> will set <font color='#dbdbdb'>Knocked Down</font> if either Armour type is depleted."
data "StatsDescriptionParams" "Damage;MinSurfaces"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_shout_01_start"
data "PrepareAnimationLoop" "skill_prepare_shout_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Earth_Prepare_Shout_Root_01,KeepRot:Dummy_Root"
data "CastAnimation" "skill_cast_shout_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Earth_Cast_Shout_Earthquake_Root_01,detach:Dummy_Root:cast;RS3_FX_Skills_Earth_Cast_Shout_Earthquake_Root_02,detach:Dummy_Root:cast"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "EarthSpecialist 3"
data "CycleConditions" "Enemy;!Dead"

