new entry "MEND_METAL"
type "StatusData"
data "StatusType" "HEALING"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "BringIntoCombat" "Yes"
data "DisplayName" "MEND_METAL_DisplayName"
data "DisplayNameRef" "Mending"
data "Description" "MEND_METAL_Description"
data "DescriptionRef" "Restores [1] each turn."
data "DescriptionParams" "HealAmount"
data "Icon" "Skill_Earth_MendMetal"
data "FormatColor" "Healing"
data "StatsId" "Stats_MendMetal"
data "StackId" "Stack_MendMetal"
data "HealingEvent" "OnApplyAndTurn"
data "HealStat" "PhysicalArmor"
data "HealType" "Qualifier"
data "HealValue" "30"
data "SkipInitialEffect" "No"

